"","PROBEID","SYMBOL","t","p","padj"
"1","234008_s_at","CES3",-12.5887118741914,2.43150719509699e-24,8.82548483190277e-23
"2","235350_at","C4orf19",-12.6083645510835,1.74730923207874e-22,5.0339406076257e-21
"3","222764_at","ASRGL1",-12.609419567884,1.61667747603512e-23,5.36619771501918e-22
"4","218189_s_at","NANS",-12.6873035668861,5.38884648736051e-24,1.87855024505354e-22
"5","205489_at","CRYM",-12.8038558167288,1.14826066436869e-24,4.31124819607148e-23
"6","214106_s_at","GMDS",-12.8063700961857,1.13667950829839e-21,2.99578489971898e-20
"7","227725_at","ST6GALNAC1",-13.1372941938637,1.15481787328417e-22,3.40396315982333e-21
"8","211715_s_at","BDH1",-13.4178737311676,2.63365002377776e-25,1.06758383176251e-23
"9","220622_at","LRRC31",-13.5431416078249,1.53546219465606e-26,7.17687564167506e-25
"10","203240_at","FCGBP",-13.7881155288664,2.68650768873274e-25,1.08708631793367e-23
